EngineIntakeAirFlowRate,EngineFuelFlowRate,EngineIntakePress,EngineTorque,Nox
136.6000061,2.400000095,4,27.27785832,280.2999878
136.375,3.150000095,4,27.25450328,280.2999878
136.3999939,2.400000095,4,27.28760181,280.2999878
136.8500061,3.200000048,4,27.31101602,280.2999878
136.1499939,2.400000095,4,40.95920257,280.2999878
136.8500061,3.25,4,40.90218269,280.2999878
136.375,2.450000048,4,27.24284074,280.2999878
133.1000061,3.200000048,4,27.2827292,280.2999878
131,2.299999952,4,27.2661758,280.2999878
130.0500031,3.049999952,4,40.93140271,280.2999878
129.8249969,2.349999905,4,27.31101602,280.2999878
130.75,3.150000095,4,27.31003873,280.2999878
130.0500031,2.349999905,4,40.95627543,280.2999878
130.2749939,3.150000095,4,40.90948379,280.2999878
130.3000031,2.349999905,4,27.2710425,280.2999878
131.9250031,3.150000095,4,27.27980837,280.2999878
130.5249939,2.349999905,4,40.94749295,280.2999878
131.4750061,3.099999905,4,40.93286624,280.2999878
131.2250061,2.349999905,4,27.27688578,280.2999878
131.2250061,3.200000048,4,27.29150258,280.2999878
131,2.299999952,4,40.90656375,280.2999878
130.0500031,3.150000095,4,27.26423008,280.2999878
130.75,2.349999905,4,27.27883331,280.2999878
133.1000061,3.150000095,4,27.29150258,280.2999878
135.2250061,2.400000095,4,40.9650581,280.2999878
136.6000061,3.200000048,4,40.92994286,280.2999878
137.0749969,2.450000048,4,27.28175631,280.2999878
137.7749939,3.25,4,27.27298919,280.2999878
137.0749969,2.400000095,4,27.26423008,280.2999878
137.7749939,3.150000095,4,27.25158611,280.2999878
137.3249969,2.400000095,4,27.25644761,280.2999878
137.3249969,3.200000048,4,27.30515811,280.2999878
137.1000061,2.349999905,4,40.95334514,280.2999878
137.1000061,3.200000048,4,40.92847954,280.2999878
136.8500061,2.450000048,4,27.28565303,280.2999878
136.8500061,3.25,4,27.27980837,280.2999878
136.8500061,2.400000095,4,40.93871424,280.2999878
135.2250061,3.200000048,4,27.24866958,280.2999878
132.3999939,2.400000095,4,27.27493854,280.2999878
131.6999969,3.099999905,4,27.30515811,280.2999878
129.3500061,2.299999952,4,40.94895763,280.2999878
129.5749969,2.349999905,4,27.26714995,280.2999878
130.7749939,3.150000095,4,27.28175631,280.2999878
130.2749939,2.299999952,4,27.27493854,280.2999878
130.0500031,3.099999905,4,40.92994286,280.2999878
130.0500031,2.349999905,4,40.98703664,280.2999878
130.5249939,3.150000095,4,27.31882969,280.2999878
129.1000061,2.400000095,4,40.97970784,280.2999878
131.6999969,3.200000048,4,27.27591094,280.2999878
135.1999969,2.450000048,4,27.27007045,280.2999878
137.3249969,3.25,4,27.27785832,280.2999878
137.8000031,2.400000095,4,40.92117167,280.2999878
138.7250061,3.200000048,4,40.92994286,280.2999878
138.0249939,2.400000095,4,27.27493854,280.2999878
138.25,3.25,4,40.94895763,280.2999878
136.8500061,2.400000095,4,27.27396383,280.2999878
136.375,3.200000048,4,40.87446372,280.2999878
135.9250031,2.400000095,4,27.27298919,280.2999878
136.6000061,3.200000048,4,27.27785832,280.2999878
136.375,2.400000095,4,40.93579003,280.2999878
134.5249939,3.200000048,4,27.26228464,280.2999878
131.4750061,2.400000095,4,27.2827292,280.2999878
130.0500031,3.150000095,4,27.27883331,280.2999878
129.3500061,2.349999905,4,27.26714995,280.2999878
129.3500061,3.099999905,4,27.25742106,280.2999878
129.8249969,2.299999952,4,27.2661758,280.2999878
129.8249969,3.099999905,4,40.9753111,280.2999878
130.75,2.299999952,4,40.96066451,280.2999878
130.5249939,3.150000095,4,40.95188372,280.2999878
130.3000031,2.400000095,4,27.30613505,280.2999878
130.75,3.150000095,4,27.29540208,280.2999878
131.25,2.349999905,4,40.96066451,280.2999878
132.875,3.150000095,4,40.90072493,280.2999878
135.2250061,2.400000095,4,27.28662857,280.2999878
136.6000061,3.200000048,4,27.28662857,280.2999878
136.625,2.400000095,4,40.92117167,280.2999878
137.0749969,3.200000048,4,27.26423008,280.2999878
137.3249969,2.400000095,4,27.25450328,280.2999878
137.5500031,3.25,4,27.28467993,280.2999878
137.0749969,2.349999905,4,40.90072493,280.2999878
